No.,ID,Name,URL,Address,State,Contact details 1,Contact details 2,Contact details 3,Contact details 4,Contact details 5,Contact details 6,Contact details 7,Good/BAD
1,92133,A-1 Pawn Llc,https://www.henryusa.com/dealer-location/a-1-pawn-llc/,"113 North Main StreetBoaz, AL 35957",Alabama,Empty field,256-593-7270,timegs@yahoo.com,Empty field,256-593-7598,Empty field,Empty field,
2,92113,"Alabama Gun & Pawn, Inc.",https://www.henryusa.com/dealer-location/alabama-gun-pawn-inc/,"15347 HWY 43Russellville, AL 35653",Alabama,Jeff Smith,256-332-1108,jsmithpawn@hotmail.com,Empty field,Empty field,Empty field,Empty field,
3,92115,Alabama Pawn & Cash Inc,https://www.henryusa.com/dealer-location/alabama-pawn-cash-inc/,"306-308 Temple Avenue NorthFayette, AL 35555",Alabama,Empty field,205-932-5984,pawn308@hotmail.com,Empty field,Empty field,Empty field,Empty field,
4,92187,Andrews Hdwe Co Inc,https://www.henryusa.com/dealer-location/andrews-hdwe-co-inc/,"PO Box 157Citronelle, AL 36522",Alabama,Empty field,251-866-5554,rick@andrewsace.com,Empty field,Empty field,Empty field,Empty field,
5,92195,Arab Lumber & Supply Co.,https://www.henryusa.com/dealer-location/arab-lumber-supply-co/,"841 N. Brindlee Mtn. Pkwy.Arab, AL 35016",Alabama,Empty field,Empty field,arablumber@otelco.net,http://arablumber.com,Empty field,Empty field,Empty field,
6,92145,Bama Pawn & Jewelry,https://www.henryusa.com/dealer-location/bama-pawn-jewelry/,"305 Beltline Rd NwDecatur, AL 35601",Alabama,Empty field,256-351-7534,bamapawn@gmail.com,Empty field,Empty field,Empty field,Empty field,
7,92155,Bass Pro Shops – Leeds,https://www.henryusa.com/dealer-location/bass-pro-outdoor-world/,"5000 Bass Pro BlvdLeeds, AL 35094",Alabama,Empty field,205-613-5167,rdmitchell@basspro.com,Empty field,Empty field,Empty field,Empty field,
8,92140,Bass Pro Shops – Prattville,https://www.henryusa.com/dealer-location/bass-pro-shop/,"2553 Rocky Mtn. RdPrattville, AL 36066",Alabama,John Green,334-290-6400 ext 4075,JTGreen@basspro.com,https://stores.basspro.com/us/al/prattville/2553-rocky-mount-rd.html,Empty field,Empty field,Empty field,
9,92169,Bass Pro Shops – Spanish Fort,https://www.henryusa.com/dealer-location/bass-pro-outdoor-world-2/,"20000 Bass Pro DriveSpanish Fort, AL 36527",Alabama,Empty field,251-607-5900,aksande@basspro.com,Empty field,Empty field,Empty field,Empty field,
10,122323,Bennett Auto Parts,https://www.henryusa.com/dealer-location/bennett-auto-parts/,"416 South Randolph AveEufaula, AL 36027",Alabama,Clayton Bennett,334-687-0850,clayton.bennett@bennettfeedsupply.com,Empty field,334-687-7812,Empty field,Empty field,
11,92123,Big Daddy’s Outdoors,https://www.henryusa.com/dealer-location/big-daddys-outdoors/,"52680 U.S. Highway 72Bridgeport, AL 35740",Alabama,Empty field,256-495-9225,bigdaddys@hughes.net,Empty field,256-495-9227,Empty field,Empty field,
12,92189,Birmingham Pistol Wholesale Inc,https://www.henryusa.com/dealer-location/birmingham-pistol-wholesale-inc/,"6969 HWY 11 NorthTrussville, AL 35173",Alabama,Empty field,205-655-7800,sales@birminghampistol.com,Empty field,Empty field,Empty field,Empty field,
13,123915,Blount County Tactical,https://www.henryusa.com/dealer-location/blount-county-tactical/,"925 2nd Ave EOneonta, AL 35121",Alabama,Dylan West,205-625-3797,Empty field,https://blountcountytactical.com/,Empty field,Empty field,Empty field,
14,92112,"Bradford’s Jewelry, Pawn & Gun",https://www.henryusa.com/dealer-location/bradfords-jewelry-pawn-gun/,"314 South Marion StreetAthens, AL 35611",Alabama,Empty field,256-233-0016,bradfordspawn@bellsouth.net,Empty field,256-233-4066,Empty field,Empty field,
15,93033,Buck Creek Pawn Shop,https://www.henryusa.com/dealer-location/buck-creek-pawn-shop/,"298 Lake StRanburne, AL 36273",Alabama,Empty field,770-834-1881,donspawn@aol.com,Empty field,Empty field,Empty field,Empty field,
16,92150,Buddys Sports Country,https://www.henryusa.com/dealer-location/buddys-sports-country/,"8401 Highway 431Heflin, AL 36264",Alabama,Empty field,256-253-2254,buddyssports@yahoo.com,Empty field,Empty field,Empty field,Empty field,
17,92117,"Byford’s Gun & Pawn, Inc.",https://www.henryusa.com/dealer-location/byfords-gun-pawn-inc/,"510 Main Street WHartselle, AL 35640",Alabama,Jeff Byford,256-778-3111,Byfordsgun@gmail.com,Empty field,Empty field,Empty field,Empty field,
18,112186,C&n Tactical Llc,https://www.henryusa.com/dealer-location/cn-tactical-llc/,"124 Hunter RdAddison, AL 35540",Alabama,Christopher Burns,205-810-5607,chrisburns&cntacticalsolutions.com,http://www.cntacticalsolutions.com,Empty field,Empty field,Empty field,
19,92197,Cabela’s – Huntsville,https://www.henryusa.com/dealer-location/cabelas-3/,"7090 Cabela Drive NWHuntsville, AL 35805",Alabama,Tammy Nipper,256-517-7200,Tammy.nipper@cabelas.com,Empty field,Empty field,Empty field,Empty field,
20,92173,Campbell Hardware & Supply,https://www.henryusa.com/dealer-location/campbell-hardware-supply/,"22529 Hwy 59NRobertsdale, AL 36567",Alabama,Empty field,251-947-2291,ashley@campbellhardware.com,Empty field,251-947-2295,Empty field,Empty field,
21,92146,Capital Pawn Shop,https://www.henryusa.com/dealer-location/capital-pawn-shop/,"4359 Troy HighwayMontgomery, AL 36116",Alabama,Empty field,334-613-1099,luke.finkel@gmail.com,Empty field,Empty field,Empty field,Empty field,
22,92139,Casey Feed Llc,https://www.henryusa.com/dealer-location/casey-feed-llc/,"4631 County Road 37 SouthHope Hull, AL 36043",Alabama,Empty field,334-657-7897,casey329@hotmail.com,Empty field,Empty field,Empty field,Empty field,
23,92160,Chris’s Gun Shop,https://www.henryusa.com/dealer-location/chriss-gun-shop/,"20187 Lindsey Bridge RdAndalusia, AL 36420",Alabama,Empty field,334-504-4082,chrissgunshop@hotmail.com,Empty field,Empty field,Empty field,Empty field,
24,113259,Crimson Pride Fishing & Hunting,https://www.henryusa.com/dealer-location/crimson-pride-fishing-hunting/,"8016 Hwy 43 NorthNorthport, AL 35473",Alabama,Kerry Hall or Tanya Decker,205-764-0847,Empty field,https://www.facebook.com/profile.php?id=100063571210899,Empty field,Empty field,Empty field,
25,92091,Cullman Guns & Ammo & Pawn,https://www.henryusa.com/dealer-location/cullman-guns-ammo-pawn/,"118 4th Street SWCullman, AL 35055",Alabama,Empty field,256-734-8513,lstuartadams@gmail.com,Empty field,Empty field,Empty field,Empty field,
26,92168,D & K Pawn,https://www.henryusa.com/dealer-location/d-k-pawn/,"2306 Highway 78Sumiton, AL 35148",Alabama,Empty field,205-648-8001,donoutlaw0957@gmail.com,Empty field,Empty field,Empty field,Empty field,
27,92134,Days Sporting Goods & Pawn,https://www.henryusa.com/dealer-location/days-sporting-goods-pawn/,"724 E. Main StCentre, AL 35960",Alabama,Empty field,256-927-5508,haroldday@tds.net,Empty field,Empty field,Empty field,Empty field,
28,122483,DEKALB SPORTSMAN AND PAWN,https://www.henryusa.com/dealer-location/dekalb-sportsman-and-pawn/,"2310 GAULT AV NORTHFORT PAYNE, AL 35967",Alabama,BRIAN JONES,256-997-0707,dekalbsportsman@gmail.com,https://www.dekalbsportsman.com/,Empty field,Empty field,Empty field,
29,92124,Dempsey’s Pawn & Gun,https://www.henryusa.com/dealer-location/dempseys-pawn-gun/,"12061 Highway 231-431 NorthMeridianville, AL 35759",Alabama,Brian Dempsey,256-828-6578,dempseyspawnguns@bellsouth.net,Empty field,256-828-6505,Empty field,Empty field,
30,120321,Dunham’s Sports #215,https://www.henryusa.com/dealer-location/dunhams-sports-215/,"23041 John T. Reid ParkwayScottsboro, AL 35768",Alabama,Empty field,256-259-0318,Empty field,https://www.dunhamssports.com/,256-217-4669,Empty field,Empty field,
31,120336,Dunham’s Sports #227,https://www.henryusa.com/dealer-location/dunhams-sports-227/,"101 Cracker Barrel Row SW, Suite BFort Payne, AL 35968",Alabama,Empty field,256-845-7755,Empty field,https://www.dunhamssports.com/,256-273-0033,Empty field,Empty field,
32,120206,Dunham’s Sports #238,https://www.henryusa.com/dealer-location/dunhams-sports-238/,"5940 U.S. Hwy 431 Suite 100Albertville, AL 35950",Alabama,Empty field,256-891-6369,Empty field,https://www.dunhamssports.com/,256-849-2574,Empty field,Empty field,
33,120252,Dunham’s Sports #263,https://www.henryusa.com/dealer-location/dunhams-sports-263/,"300 Highway 78 EJasper, AL 35501",Alabama,Empty field,205-282-4204,Empty field,https://www.dunhamssports.com/,205-282-4247,Empty field,Empty field,
34,92141,Dunn’s True Value Hardware,https://www.henryusa.com/dealer-location/dunns-true-value-hardware/,"804 Hwy 231 STroy, AL 36081",Alabama,Empty field,334-566-3128,Empty field,https://ww3.truevalue.com/dunnstruevalue/Home.aspx,Empty field,Empty field,Empty field,
35,92180,Dunns Sports,https://www.henryusa.com/dealer-location/dunns-sports/,"33356 Highway 43Thomasville, AL 36784",Alabama,Empty field,334-636-0850,dunns.sports@gmail.com,Empty field,Empty field,Empty field,Empty field,
36,92175,Earl’s Pawn & Jewelery Inc.,https://www.henryusa.com/dealer-location/earls-pawn-jewelery-inc/,"260 Schillinger Rd NorthMobile, AL 36608",Alabama,Empty field,251-633-7296,earlsjewelery@gmail.com,Empty field,Empty field,Empty field,Empty field,
37,102975,Fletchers Outdoors,https://www.henryusa.com/dealer-location/fletchers-outdoors/,"13759 Brooklyn Rd.Andalusia, AL 36421",Alabama,Jerrod James,334-582-1955,info@fletchout.com,http://www.fletchout.com,Empty field,Empty field,Empty field,
38,105449,G & D Farms,https://www.henryusa.com/dealer-location/g-d-farms/,"14170 Tanner Williams RoadWilmer, AL 36587",Alabama,Lesia Carter,251-649-1236,g1dfarms@bellsouth.net,https://g-dfarms.com/,Empty field,Empty field,Empty field,
39,121237,"Geraldine Hardware, Llc",https://www.henryusa.com/dealer-location/geraldine-hardware-llc/,"41474 ALABAMA HWY 75GERALDINE, AL 35974",Alabama,LEONA THOMAS,256-659-2121,LEONAT@GERALDINEHARDWARE.COM,Empty field,Empty field,Empty field,Empty field,
40,92167,Gold Mine Pawn Shop,https://www.henryusa.com/dealer-location/gold-mine-pawn-shop/,"602 Highway 98Daphne, AL 36526",Alabama,Tom Hand,251-626-6500,pawnbroker@mail.com,http://goldminepawnshop.com/,Empty field,Empty field,Empty field,
41,92100,Gun Logic Firearms,https://www.henryusa.com/dealer-location/gun-logic-firearms/,"14695 Bel Aire ESTCoker, AL 35452",Alabama,Empty field,205-333-3258,gunlogic@charter.net,Empty field,Empty field,Empty field,Empty field,
42,116859,Guns N More Athens,https://www.henryusa.com/dealer-location/guns-n-more-athens/,"1124 US Hwy 72 EAthens, AL 35611",Alabama,Dylan Munroe,256-444-2275,Empty field,https://www.wintertimberoutdoors.com/,Empty field,Empty field,Empty field,
43,92138,H&h Guns & Then Some,https://www.henryusa.com/dealer-location/hh-guns-then-some/,"479 Starlington RdGeorgiana, AL 36033",Alabama,Empty field,334-346-2583,Empty field,Empty field,Empty field,Empty field,Empty field,
44,92086,Hatcher Custom Shop,https://www.henryusa.com/dealer-location/hatcher-custom-shop/,"4165 County Hwy 27Guin, AL 35563",Alabama,Empty field,334-349-0187,rabbi-k@kennyhatcher.com,Empty field,Empty field,Empty field,Empty field,
